Rank,Release,Gross,Theaters,Opening,% of Total,Open,Close,Distributor
148,The Warrior's Way,5666340,1622,881737,53.80%,Dec 3,Feb 3,Relativity Media
149,The Girl Who Kicked the Hornet's Nest,5190196,208,121504,17%,Oct 29,Mar 3,Music Box Films
150,I Am Love,5005465,166,199657,2.40%,Jun 18,Dec 2,Magnolia Pictures
151,Mao's Last Dancer,4817770,137,94936,4.10%,Aug 20,Dec 9,The Samuel Goldwyn Company
152,Solitary Man,4360548,177,39649,2.20%,May 21,Oct 7,Anchor Bay Films
153,Inside Job,4312735,250,118152,0.90%,Oct 8,May 5,Sony Pictures Classics
154,Greenberg,4234170,186,118123,2.80%,Mar 19,May 27,Focus Features
155,Please Give,4033574,272,1944027,2.90%,Apr 30,Oct 21,Sony Pictures Classics
156,My Name Is Khan,4018771,125,1581517,48.40%,Feb 12,May 6,-
157,To Save a Life,3777210,441,805115,41.90%,Jan 22,Apr 8,The Samuel Goldwyn Company
158,The Runaways,3573673,244,170756,22.50%,Mar 19,Jun 3,Apparition
159,Exit Through the Gift Shop,3291250,46,160103,5.20%,Apr 16,Nov 4,-
160,You Will Meet a Tall Dark Stranger,3248246,402,257285,4.90%,Sep 22,Feb 10,Sony Pictures Classics
161,Catfish,3237343,143,111869,7.90%,Sep 17,Dec 2,Rogue Pictures
162,Another Year,3205706,236,900688,3.50%,Dec 29,May 26,Sony Pictures Classics
163,Chloe,3075255,350,164351,29.30%,Mar 26,Jul 15,Sony Pictures Classics
164,Joan Rivers: A Piece of Work,2930687,115,1088873,5.60%,Jun 11,Sep 16,IFC Films
165,Letters to God,2848578,897,1166406,38.20%,Apr 9,Jul 1,Vivendi Entertainment
166,N-Secure,2595644,486,111734,44.90%,Oct 15,Nov 18,Freestyle Releasing
167,Never Let Me Go,2434652,232,38594,4.60%,Sep 15,Dec 16,-
168,Twilight/New Moon,2385237,2037,53778,-,Jun 29,Jun 29,Summit Entertainment
169,The Illusionist,2231474,206,163773,1.70%,Dec 25,May 12,Sony Pictures Classics
170,Rabbit Hole,2229058,131,112520,2.40%,Dec 17,Apr 7,Lionsgate
171,A Prophet,2087720,83,173353,7.80%,Feb 26,Jul 1,Sony Pictures Classics
172,I Love You Phillip Morris,2037459,100,75766,5.50%,Dec 3,Apr 14,Roadside Attractions
173,Harry Brown,1818681,67,119086,9.50%,Apr 30,Aug 12,The Samuel Goldwyn Company
174,Stone,1810078,125,224233,4.20%,Oct 8,Dec 30,Overture Films
175,Somewhere,1785645,83,959329,6.70%,Dec 22,Mar 3,Focus Features
176,Flipped,1755212,442,44454,12.80%,Aug 6,Oct 14,Warner Bros.
177,Kites,1643486,207,66245,58.40%,May 21,Jun 24,Reliance Big Pictures
178,Coco Chanel & Igor Stravinsky,1621226,74,850244,2.70%,Jun 11,Oct 21,Sony Pictures Classics
179,Cairo Time,1603616,76,509689,4.10%,Aug 6,Nov 11,IFC Films
180,Raajneeti,1514558,124,52749,56.10%,Jun 4,Jul 11,UTV Motion Pictures
181,The Joneses,1475746,217,35581,34.50%,Apr 16,Jul 15,Roadside Attractions
182,Nowhere Boy,1457248,215,628137,3.60%,Oct 8,Dec 9,The Weinstein Company
183,Restrepo,1330894,52,42751,2.70%,Jun 25,Dec 5,National Geographic Entertainment
184,Dabangg,1288549,68,642156,48.70%,Sep 10,Sep 30,Eros Worldwide
185,Micmacs,1262079,52,626432,3.40%,May 28,Oct 21,Sony Pictures Classics
186,Housefull,1183658,82,43040,54.30%,Apr 30,May 20,Eros Worldwide
187,Golmaal 3,1132192,86,37563,55.30%,Nov 5,Nov 25,Eros Worldwide
188,Mother and Child,1110509,119,539793,3.90%,May 7,Oct 21,Sony Pictures Classics
189,Made in Dagenham,1095369,89,49046,3.40%,Nov 19,Apr 14,Sony Pictures Classics
190,Tees Maar Khan,1076443,108,100268,50.10%,Dec 22,Jan 20,UTV Motion Pictures
191,La Mission,1062941,47,61968,4.60%,Apr 9,Aug 8,Screen Media Films
192,Buried,1044143,107,34528,9.60%,Sep 24,Nov 11,Lionsgate
193,Animal Kingdom,1044039,61,511698,5.90%,Aug 13,Mar 17,Sony Pictures Classics
194,Casino Jack,1042959,60,291360,3.30%,Dec 17,Apr 7,ATO Pictures
195,The Perfect Game,1037071,417,488121,49.30%,Apr 16,May 13,-
196,The Oscar Nominated Short Films 2010: Live Action,1018169,95,,28.60%,Feb 19,Apr 29,Shorts International
197,Guzaarish,1017335,108,67848,48%,Nov 19,Dec 16,UTV Motion Pictures
198,The Salvation Poem,914818,30,186995,-,Aug 27,Sep 1,CanZion Films
199,The Wildest Dream,898137,21,67848,7.60%,Aug 6,Jul 7,National Geographic Entertainment
200,Princess Kaiulani,883887,47,186995,21.20%,May 14,Sep 30,Roadside Attractions
